Contract Count,ID,LGA,SEIFA,Population,TargetedGroup,Service,Indigenous,Agency
1182,LEAS-25077,Fairfield,4,203109,110 All (general population),A10.1 Social housing,N/A,FACS
647,LEAS-24892,Hawkesbury,77,65527,110 All (general population),A10.1 Social housing,N/A,FACS
624,LEAS-33210,Bankstown,44,200357,110 All (general population),A10.1 Social housing,N/A,FACS
597,LEAS-28682,Parramatta,73,189932,110 All (general population),A10.1 Social housing,N/A,FACS
584,APL~11106484413~2146,Blacktown,61,332424,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
500,LEAS-24535,Wollongong,65,206794,110 All (general population),A10.1 Social housing,N/A,FACS
491,LEAS-71805,Blue Mountains,82,79688,110 All (general population),A10.1 Social housing,N/A,FACS
487,LEAS-27435,Canterbury,34,150626,110 All (general population),A10.1 Social housing,N/A,FACS
479,APL~11074397532~2015,Sydney City,85,198331,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
464,LEAS-36347,Shoalhaven,41,99016,110 All (general population),A10.1 Social housing,N/A,FACS
452,APL~11106484413~2121,Parramatta,73,189932,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
448,LEAS-31710,Wingecarribee,78,47584,110 All (general population),A10.1 Social housing,N/A,FACS
433,LEAS-30682,Liverpool,58,199928,110 All (general population),A10.1 Social housing,N/A,FACS
431,APL~12075893239~2500,Wollongong,65,206794,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
417,LEAS-28171,Newcastle,72,160021,110 All (general population),A10.1 Social housing,N/A,FACS
415,APL~12010992766~2302,Newcastle,72,160021,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
391,LEAS-28228,Holroyd,60,111100,110 All (general population),A10.1 Social housing,N/A,FACS
386,LEAS-26496,Sydney City,85,198331,110 All (general population),A10.1 Social housing,N/A,FACS
375,LEAS-24457,Wyong,37,159015,110 All (general population),A10.1 Social housing,N/A,FACS
370,LEAS-24804,Blacktown,61,332424,110 All (general population),A10.1 Social housing,N/A,FACS
370,APL~11969792323~2190,Bankstown,44,200357,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
360,LEAS-25740,Penrith,71,194134,110 All (general population),A10.1 Social housing,N/A,FACS
351,LEAS-24281,Sutherland,89,225070,110 All (general population),A10.1 Social housing,N/A,FACS
350,LEAS-70494,Muswellbrook,51,17045,110 All (general population),A10.1 Social housing,N/A,FACS
347,LEAS-27335,Marrickville,83,83356,110 All (general population),A10.1 Social housing,N/A,FACS
347,LEAS-26750,Randwick,88,143776,110 All (general population),A10.1 Social housing,N/A,FACS
343,APL~11106484413~2283,Lake Macquarie,69,202676,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
309,APL~11106484413~2750,Penrith,71,194134,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
308,APL~11969792323~2170,Liverpool,58,199928,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
304,APL~11106484413~2560,Campbelltown,38,156572,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
302,APL~11074397532~2227,Sutherland,89,225070,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
290,LEAS-23723,Campbelltown,38,156572,110 All (general population),A10.1 Social housing,N/A,FACS
282,APL~11106484413~2250,Cessnock,19,54979,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
275,LEAS-27684,Gosford,75,171992,110 All (general population),A10.1 Social housing,N/A,FACS
275,LEAS-26652,Coffs Harbour,46,72382,110 All (general population),A10.1 Social housing,N/A,FACS
270,APL~12075893239~2259,Wyong,37,159015,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
266,APL~12075893239~2166,Fairfield,4,203109,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
245,LEAS-39352,Mid-Western,47,24017,110 All (general population),A10.1 Social housing,N/A,FACS
237,APL~11106484413~2077,Hornsby,93,168614,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
235,LEAS-24553,Lake Macquarie,69,202676,110 All (general population),A10.1 Social housing,N/A,FACS
223,LEAS-28062,Byron,64,32119,110 All (general population),A10.1 Social housing,N/A,FACS
221,LEAS-23732,Leichhardt,93,58136,110 All (general population),A10.1 Social housing,N/A,FACS
217,00485-04,Upper Hunter,56,14658,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
217,00485-04,Singleton,76,23884,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
217,00485-04,Port Stephens,58,69728,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
217,00485-04,Newcastle,72,160021,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
217,00485-04,Muswellbrook,51,17045,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
217,00485-04,Maitland,70,75170,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
217,00485-04,Lake Macquarie,69,202676,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
217,00485-04,Dungog,63,9108,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
217,00485-04,Cessnock,19,54979,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
216,APL~12075893239~2535,Shoalhaven,41,99016,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
212,APL~11106484413~2097,Warringah,91,155289,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
207,02453-04,Port Macquarie-Hastings,49,77481,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
207,02453-04,Nambucca,6,19655,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
207,02453-04,Kempsey,3,29643,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
207,02453-04,Greater Taree,8,48941,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
207,02453-04,Great Lakes,17,36499,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
207,02453-04,Gloucester,31,5064,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
207,02453-04,Coffs Harbour,46,72382,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
207,02453-04,Bellingen,36,13032,360 Daily living assistance (multiple needs),A01.3 Community living support,N/A,FACS
197,APL~11969792323~2145,Holroyd,60,111100,110 All (general population),A03.1 Pre-voc./vocational training,N/A,Education
195,00265-03,Willoughby,94,74166,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
195,00265-03,Warringah,91,155289,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
195,00265-03,Ryde,89,114598,360 Daily living assistance (multiple needs),A01.4 Daily living support,N/A,FACS
