Contract Count,ID,LGA,Population,TargetedGroup,Service,Agency,Indigenous,SEIFA,Year
232,SaS~12105690239~2146,Blacktown,332424,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,61,Y 2015
155,SaS~12105690239~2500,Wollongong,206794,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,65,Y 2015
129,SaS~12105690239~2560,Campbelltown,156572,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,38,Y 2015
126,SaS~12105690239~2747,Penrith,194134,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,71,Y 2015
119,SaS~12105690239~2162,Bankstown,200357,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,44,Y 2015
117,SaS~12105690239~2114,Parramatta,189932,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,73,Y 2015
115,SaS~12105690239~2168,Liverpool,199928,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,58,Y 2015
105,SaS~12010992766~2285,Lake Macquarie,202676,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,69,Y 2015
103,SaS~12010992766~2232,Sutherland,225070,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,89,Y 2015
101,SaS~12010992766~2299,Newcastle,160021,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,72,Y 2015
101,SaS~12105690239~2261,Wyong,159015,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,37,Y 2015
95,SaS~12105690239~2007,Sydney City,198331,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,85,Y 2015
88,SaS~12010992766~2322,Cessnock,54979,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,19,Y 2015
85,SaS~12010992766~2145,Holroyd,111100,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,60,Y 2015
80,SaS~12105690239~2164,Fairfield,203109,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,4,Y 2015
72,SaS~12105690239~2077,Hornsby,168614,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,93,Y 2015
63,SaS~12105690239~2251,Gosford,171992,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,75,Y 2015
59,SaS~12105690239~2529,Shellharbour,68762,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,53,Y 2015
58,SaS~12105690239~2084,Warringah,155289,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,91,Y 2015
58,SaS~12105690239~2753,Hawkesbury,65527,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,77,Y 2015
58,SaS~13161368029~2540,Shoalhaven,99016,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,41,Y 2015
55,SaS~12105690239~2193,Canterbury,150626,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,34,Y 2015
54,SaS~12010992766~2034,Randwick,143776,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,88,Y 2015
54,SaS~12105690239~2220,Hurstville,85886,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,78,Y 2015
47,SaS~13006824004~2777,Blue Mountains,79688,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,82,Y 2015
45,SaS~13006824004~2567,Camden,67084,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,87,Y 2015
44,SaS~12010992766~2323,Maitland,75170,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,70,Y 2015
44,SaS~13006824004~2127,Auburn,85446,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,41,Y 2015
41,SaS~12105690239~2154,The Hills,187703,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,97,Y 2015
40,SaS~12010992766~2071,Ku-Ring-Gai,120978,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,100,Y 2015
37,SaS~13161368029~2450,Clarence Valley,51003,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,9,Y 2015
36,SaS~12105690239~2134,Burwood,36053,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,79,Y 2015
36,SaS~12105690239~2205,Rockdale,108072,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,75,Y 2015
35,SaS~12105690239~2042,Marrickville,83356,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,83,Y 2015
33,SaS~12105690239~2340,Tamworth,60495,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,45,Y 2015
33,SaS~13006824004~2430,Greater Taree,48941,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,8,Y 2015
32,SaS~12105690239~2112,Ryde,114598,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,89,Y 2015
32,SaS~12105690239~2131,Ashfield,44498,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,80,Y 2015
32,SaS~12105690239~2219,Kogarah,61030,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,86,Y 2015
32,SaS~16104341148~2318,Port Stephens,69728,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,58,Y 2015
31,SaS~12105690239~2101,Pittwater,63338,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,95,Y 2015
31,32265-01,Bellingen,13032,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,36,Y 2015
